,Transljteratjon,Translation
2002,P. pw m mtw .t .k wsjr,"It is Pepi, namely your seed ."
2003, Nt . js pw rm Tw ,"That it is Neith, the one who beweeps you ."
2004, Nt . pw jr .f mnw pr m hrw ,"It is Neith, acting as Min, who ascends on the day ."
2005,W. pj,It is Unas .
2006,W. pj wnnt rDj .f t n ntjw,"Unas it is, giving bread to those who are ."
2007,M.n pw,It is Merenre .
2008,W. pj W. mA,"It is Unas, Unas who was seen ."
2009,x .t n .j sSm x .t n .j sSm,"The offering to me, O butcher, the offering to me, O butcher!"
2010, x .t n .j tm x .t n .j tm ,"The offering to me, O Atum, the offering to me, O Atum!"
2011,abH .tj n .k m mr nTr .j rDj .t .n n .k Hr nxn .j,"They having been filled for you in the natron pool, these which Hierakonpolis Horus gave you ."
2012, abH .tj n .k m mr nTr .j ,They having been filled for you in the natron pool .
2013, Ssp n .k wab .k pw fd .t .k jptw aAb .wt abH .tj m mr nTr ,"Receive this purification of yours, these four jars of yours, filled from the natron pool!"
2014,Ssp n .k fd .t .k jptw aAb .t abH .tj m mr nTr,"Receive your four jars, filled from the natron pool!"
2015, abH .tj m mr nTr .j m nTrw Xr TAw As .t wr .t ,Filled from the natron pool in Netjeru with the breath of Isis the great .
2016,mdw .f D .t .f xr psD .t aA .t m Hw .t sr jmjt jwnw,That he himself speak to the great Ennead in the house of the noble which is in Heliopolis .
2017,m n .k jr .t .k sjA .t .n .k m Hw .t sr jmjt jwnw,"Take your eye, which you discerned in the house of the noble which is in Heliopolis!"
2018,wsjr bA jmj Ax .w sxm jmj s .wt .f nD .w psD .t m Hw .t sr,"O Osiris, a Ba who is among the Akhs, a power who is in his offices, one whom the Ennead saves in the house of the noble ."
2019,jr .k nw jr .n wsjr m Hw .t sr jmjt jwnw,And do this which Osiris did in the house of the noble which is in Heliopolis .
2020,f Aw pw jr .n nTr .w jr .k m Hw .t sr m jwnw Hr ndj .k wsjr r tA,"This condemnation which the gods made against you in the house of the noble in Heliopolis, because of your casting Osiris down ."
2021,xw n .T wj P. nxb .t P. Hrjt jb Hw .t sr jmjt jwnw,"Protect me Pepi, O Nekhebet who is in the house of the noble which is in Heliopolis!"
2022, jw n .k DHw .tj mds pr m stS ,"Thoth coming to you, the knifer which went forth from Seth ."
2023, mrsw .t tpjt rmn .wj .kj m DHw .tj mds pr m stS ,"The white crown which is upon you is Thoth, the knifer which went forth from Seth ."
2024,abA .k nwD .t .k an .wt .k tpjwt Dba .w .k mjAs .w tpjw rmn .wj DHw .tj mds pr m stS,"Your staff, your Nudjet, your nails which are on your fingers, the knives which are upon Thoth, the knifer which went forth from Seth ."
2025,sk sw j .rx Tw,For he knows you .
2026,jw W. rx sw rx rn .f ,For Unas knows him and knows his name .
2027,j .rx .kj sH mnjw Hrj jb xt .jw jskn prr .w .k jm .f ,As I know the booth of the herdsman at the center of the dais of the Yezeken from which you ascend .
2028,j .rx Ne. mw .t .f ,Neferkare knows his mother .
2029,Dd .kA P. pn rn .Tn pw n rmT.w rx .n .f n tm .jw,"Then Pepi will tell this name of yours to men, that which he knows to everyone ."
2030,j .rx .kj rn .k,I know your name .
2031,sk sw j .rx Tw,For he knows you .
2032,nj sw j .rx .w Tw,For he is one of those who know you .
2033,pr W. Hr mAq .t tn jr .t .n n .f jt .f ra,And Unas ascend upon this ladder which his father Re made for him .
2034,Ts mAq .t jn ra xft wsjr,The ladder is built by Re before Osiris .
2035,nTr .w jrjw P.t nTr .w jrjw tA jr .sn wTs .w n W. Hr a .wj .sn,"And the gods who are in the sky, and the gods who are in the earth . Let them make exaltations lit . a setting up, sc . of a ladder for Unas before them ."
2036,d .f Hb,Placing a Heb ladder .
2037,aHa,"Arise, o ladder!"
2038,f A .sn mAq .t n Ne.,Lifting up the ladder for Neferkare .
2039,j .nD Hr mAq .t .T wTs .t nb .t bA .w p bA .w nxn,"Hail to your ladder, which the Bas of Buto and Hierakonpolis raised up and gilded!"
2040,sqr n .f mAq .t,Let a ladder be set up for him .
2041,jr .n .sn mAq .t n M.,And they have made a ladder for Merire .
2042, jn mAq .t n Nt . jr .t Xnm ,"Bring the ladder to Neith, the ‘that which Chnum built’ boat!"
2043, qAs .sn qAs n Ne. pn ,Binding the rope ladder for Neferkare .
2044, wn dSr .t ra wdj mAq .t ,"The redness is opened, O Re: a ladder is placed ."
2045, Dj .k Dj .tw mAq .t tw n P. pn ,May you cause that this ladder be given to Pepi .
2046,st .f n .k tkA,That he may light a lamp for you .
2047,d sD .t wbn sD .t,Let the fire be set and the fire rise .
2048,jn aA .w mH .tjw P.t wd .w n .f sD .t,"It is the magnificent ones, those of the north of the sky, who set fire for him ."
2049,abA mw rkH sD .t,Pour the water and light the fire!
2050,st .t tkA,Lighting a lamp .
2051,n Sw .n tA m P. pn D .t m wD .t ,"The land cannot ever lack Pepi, by the command ."
2052,n Hm Sw tA pn jm .f D .t,Indeed this land will not lack him for ever .
2053,jr P. wdH .w wdH sbA,Pepi will make a libation which libates a star .
2054,qbH tA,With the earth being libated .
2055,sAT,Libate .
2056,qbH nTrw TA 2,"Libation and natron, two pellets ."
2057,sAT,Libation .
2058,rDj .t qbH,Giving libation .
2059,sAT sAT,Libate the libation .
2060,m n .k qbH .k jpn,Take this your libation!
2061,m n .k qbH .k jpn,Take this libation of yours!
2062,rDj .t qbH,Giving libation .
2063,mw .k qbH .k baH wr pr jm .k,"Your water, your libation, the great flood which went forth from you ."
2064,Ssp n .k qbH .k jpn tpjw pr .w m Ax bj .t,Receive this your first libation which went forth from Chemmis!
2065,na .tj .k qbHw js,Being conveyed as a libated one .
2066,qbH .k jpn wsjr jmjw Ddw jmjw grg .w bA .f ,"This libation of yours, O Osiris, that which is in Busiris, and that which is in Geregubaf ."
2067,wdH .tj qbH .w jr rw .t,When the libation is poured out at the cultic door .
2068, qbH .k jpn wsjr qbH .k jpn hA W. pr .w xr sA .k pr .w xr Hr ,"This libation of yours, O Osiris, this libation of yours, O Unas, which went forth because of your son, which went forth because of Horus ."
2069,jw .f Xr snb .t tn njt qbHw ra,"For he is under i .e . has, i .e . receives water from this libation vase of Re ."
2070,jr Ssp n .k qbHw Hr war .t tw njt j .xm .w sk,In order to receive of you a libation upon this the region of imperishable stars .
2071,sAT,Libate .
2072,sAT,Libation .
2073,sAT sAT,Libate the libation .
2074,sAT sAT .k jn As .t,Your libation is libated by Isis .
2075,HD km f A .t,A white jar; a black jar . Lifting .
2076,f A .t xft Hr .f Dsr .t,Lifting before him; a sacred offering table .
2077,f A xft Hr .f ,Lift before him .
2078,f A .t t Hn .t,"Lifting bread, a bowl ."
2079,f A Hr .k,Lift up your sight!
2080,f A Hr .k,Lift up your sight!
2081, f A n .k Hr .k,Lift up your sight!
2082, Aw .f n .f a .wt .f j .xm .wt sk jmjt X .t mw .t .f nw .t ,Let him stretch out his imperishable limbs which are in the womb of his mother Nut .
2083,a .wt .f j .xm sk,His limbs are an imperishable star .
2084, a .wt Ne. m sbA .w j .xm .w sk ,"The limbs of Neferkare are the stars, the imperishable stars ."
2085, xnD m ab sASr .t DA .t 4 njt mw ,A shank and roast meat and four handfuls of water .
2086,xnD m ab sASr .t fd .t DA .wt njwt mw,A shank and roast meat and four handfuls of water .
2087,anx .tj nmnm .k ra nb,"Live, moving every day!"
2088,anx .tj D .t,May you live for ever!
2089,anx anx,Live! Live .
2090, anx anx m wD nj nTr .w anx .k ,Live! Live by the command of the gods! And live!
2091,anx r .k,Live!
2092,anx .tj anx .tj,"Live, being alive!"
2093, my anx anx .k nn m tr .k m tr .k m rnp .wt jptn Htp .tj ,"Come! Live your life here from season to season in these years, you being satisfied!"
2094,anx,Live!
2095,anx .k n .j M. pn D .t,"May you live for me, O Merire, for ever ."
2096, anx .tj anx .tj wAs .tj wAs .tj ,Live! Live! Have dominion! Have dominion!
2097,anx anx .tj jt .j m rn .k pw xrj nTr .w,"Live! Live, O my father, in your name of ‘one who is with the gods!’"
2098,anx .tj anx .tj anx,"Live, live! Live!"
2099,anx anx Nt . pn m rn .k pw xrj Ax .w,"Live! Live, O Neith, in this your name of ‘one who is with the Akhs!’"
2100,anx anx anx .tj anx .tj m rn .k pw xrj nTr .w,"Live! Live! Live! Live, in your name of ‘one who is with the gods!’"
2101,anx n .k anx .t m ab .sn Ax .w j .xm .w sk,"But live among them, the Akhs, the imperishable stars!"
2102, sDr .k mnj .k anx .k ,May you pass the night . May you die . May you live .
2103,anx .k jr .k,May you live .
2104, anx anx .tj rnp rnp .tj jr Dba .wj jt .k jr Dba .wj sAH jr P.t ,"Live, being alive; be rejuvenated, being rejuvenated, beside your father, beside Orion, at the sky!"
2105,anx,Live!
2106, anx .k jr anx sbA .w m anx .sn ,And live more than the stars live in their lives .
2107,anx anx,Live! Live!
2108,anx .tj anx .tj,Live! Live!
2109,anx Ne. m Agbj .k,Let Neferkare live from your abundance .
2110, anx Ne. m anx .t Hr nb P.t jm ,Neferkare will live on that on which Horus lord of the sky lives .
2111,anx M.n m anx .Tn jm,And Merenre live from that from which you live .
2112,anx Hm P. pn m anx .t .f jm m t wr HA nTr,"Indeed Pepi lives because of what he lives on, on the bread around the god ."
2113,anx .k m anx pw nDm anx .w nb Ax .t jm .f Agbj wr jmj nw .t,"And live on this sweet life on which the lord of the horizon lives, great abundance, one who is in Nut ."
2114,anx n .f M.n jm .f m sp,And Merenre live by it at once .
2115,anx M.n m j .sn .w jt .f tm,For Merenre lives from the cakes of his father Atum .
2116, anx P. pn m anx .t .Tn jm ,Let Pepi live by that by which you live .
2117,jr .f n .k xA .k m t xA .k m Hnq .t xA .k m kA xA .k m Apd xA .k m x .t nb .t anx .t nTr jm ,"Let him give you your thousand of bread, beer, beef, fowl, and everything on which a god lives ."
2118,aHa Hms r xA .k m t xA .k m Hnq .t xA .k m kA xA .k m Apd xA .k m x .t nb .t anx .t nTr jm ,"Arise! Be seated at your thousand of bread, beer, beef, fowl and everything by which a god lives!"
2119,sAx .T P. pn m Xnw .T,May you make Pepi an Akh within you .
2120,sAx .j sxm pn n bA .f ,Let this power be made an Akh because of his Ba .
2121,sAx .w .f P. pn,Is that he will make Pepi an Akh .
2122,j .sAx .f wsjr m nTr,"When he made Osiris an Akh, into a god ."
2123,sAx .f jt .f HA js mnw js skr js xntj pD .w S,"Is that he would make his father an Akh, as Ha, as Min, as Sokar, foremost of Pedju She ."
2124,sAx .f Tw,Even making you an Akh .
2125,sAx .j Tw,For I make you an Akh .
2126, Ax .k jm aA .k jm ,"That you be an Akh thereby, that you be great thereby ."
2127,sAx .T sw Xr .T,That you make him an Akh through your influence .
2128, Dj .n .k sDb .f anx .f ,You have caused that he come to life even that he live .
2129,DDj .T sDb .f ,You are to cause that he live again .
2130,stp sA anx Hr jt .Tn wsjr M. Dr nw Dj .t .f sDb .f xr nTr .w,"Put the protection of life around your father Osiris Merire, since the time of his causing his coming to live by the gods ."
2131,jmj sDb .k,Cause that you come to life!
2132,rDj .n .k sDb .kf ,The one whom you caused that he come to life .
2133, Dj .T sDb .f anx .f ,You have caused that he come to life even that he live .
2134,sja kw n .j,Make yourself rise up to me!
2135,sja kw n Hr,Make yourself rise up to Horus!
2136, j .sja .tj n .s m rn .s nj ja ,"You being made to rise up to her, in her name of ‘ascent place .’"
2137,sja kw n Hr,Make yourself rise up to Horus!
2138,sja n .j wsjr M. pn,Make Osiris Merire rise up to me!
2139,sja n .j kw,Make yourself rise up to me!
2140,mdw nTr sja sw,It is the hieroglyphs which make him rise up .
2141, sja .k kA nj W. n .f r gs .f ,May you make the Ka of Unas rise up to be
2142,sja .f P. n nTr aA,Let him make Pepi rise up to the great god .
2143,sja .k j wA .wt,For you have been made to rise up to the ways .
2144,sja .sn Ne. n xprr,Making Neferkare rise up to Kheprer .
2145,sja .f Nt . n nTr aA,He making Neith rise up to the great god .
2146, tmm rA nj Sms .t jn mAfd .t ,May the mouth of she who serves be shut by Mafdet .
2147, sTp mAfd .t jr nHb .t jn .f Dj .f ,Let Mafdet pounce upon the neck of the serpent .
2148,nAS .wt nn jw .tj Hr .k mAfd .t xntjt Hw .t anx,"The proscription of this one is come upon you, namely Mafdet, foremost of the house of life ."
2149, j .Sa .f tp .k m ds pn jmj Dr .t mAfd .t ,Let him cut off your head with this knife which is in the hand of Mafdet .
2150,Dr .t tn njt T. j .t jr .k Dr .t TT.t aA .t Hrjt jb Hw .t anx,"This hand of Teti which came against you is the hand of the great binder, resident in the house of life ."
2151,Dba .w T. Hrjw .k Dba .w mAfd .t Hrjt jb Hw .t anx,"The fingers of Teti, which are upon you, are the fingers of Mafdet, resident in the house of life ."
2152,rd pn nj T. dd .w .f Hr .k rd nj mAfd .t,This foot of Teti which he puts upon you is the foot of Mafdet .
2153,qs .wj .sj an .wt mAfd .t j .Sa n .f M.n tp .w jm njw DAy .tjw jmjw sx .t Htp,"Its two points the claws of Mafdet, with which Merenre cuts off the heads for himself of the opponents who are in the field of offerings ."
2154,srwD .k pr .k m xt .k,That you maintain your house after you .
2155,srwD .k pr .k m xt .k,That you maintain your house after you .
2156,Hn Ne. pr .k srwD Ne. arr .wt .k,Let Neferkare provide your house; let Neferkare maintain your gates .
2157, jw srwD xnt .k t .k ,Your jar stand and your bread have been maintained .
2158,srwD .j xntj pr .k,And maintain the jar stand of your house .
2159,srwDn .k xnt .k tpjw tA n D .t D .t,And maintain your jar stands which are upon earth for ever and ever .
2160,srwD n .k arr .wt .k,Maintain your gate!
2161,arw .t njt jt .k mr nw Hnn Hr arw .t njt jt .f wsjr,"the gate of your father Geb? just like this, namely that Horus equips the gate of his father Osiris ."
2162, srwD .f Df A nj xnt .f jrjw tA ,With him maintaining the provisioning of his jar stands which are on earth .
2163, xnD m ab sASr .t DA .t 4 njt mw ,A shank and roast meat and four handfuls of water .
2164,xnD m ab sASr .t fd .t DA .wt njwt mw,A shank and roast meat and four handfuls
2165,a .k m tm,With your arm being Atum .
2166,a .wt .k sA .tj tm,Your limbs are the twins of Atum .
2167,jwf .k tm m tm,With all of your flesh as Atum’s .
2168,jwf .k m tm,Your flesh as Atum .
2169,xw .k ms .w .k m a jAkb,That you keep your children from sorrow .
2170,xw .k ms .w .k m a jAkb,That you keep your children from sorrow .
2171,j .tm jAkb Hr jtr .tj,Ceased is the sorrow at the two chapel rows .
2172, tm jAkb Hr jtr .tj nTr .w ,An end of sorrow at the two chapel rows of the gods .
2173,jwa .n Ne. tm j .qmA .w xpr sbT,Neferkare has inherited the end of mourning and the beginning of laughter .
2174,jAkb,from sorrow .
2175,nHm ms .w .k m a jAkb ,Save your children from sorrow .
2176,wp .Tn n M.n rA .f ,And open for Merenre his mouth .
2177,wn rA .k ,And your mouth is opened .
2178,wp n .k rA .k, Just as your mouth has been opened .
2179,smrn smrn wpp rA .k,"The natron, the natron which opens your mouth!"
2180,wn rA .k,For your mouth has been opened .
2181,wp rA .k jn SsA xntj Sna .t,Even with your mouth having been opened by Shesa foremost of Shen’at .
2182,wp rA .k,As your mouth has been opened .
2183, HpD rA qdn H Hnsk .tjw, open the mouth those of the sidelock .
2184,wp .w rA .k m Dba .w .sn bjA .jw,Your mouth opened by their metal fingers .
2185,wp n T. rA .f ,For his mouth has been opened for Teti .
2186,wp n .k rA .k m xpx jr .t Hr,"Your mouth has been opened for you even with the Khepekh, the eye of Horus ."
2187, m n .k jr .t Hr hp .t m a stS jT.t .k jr rA .k wpp .t .k rA .k jm .s ,"Take the eye of Horus, which was recovered from Seth, that which you should take to your mouth, that by which you open your mouth!"
2188,wp rA .k jm .s,By it has your mouth been opened .
2189,wp .k rA .k m jr .t Hr,And open your mouth by the eye of Horus!
2190,wp rA .k jm .s,Open your mouth with it!
2191,wp rA .k jm .s,Open your mouth with it!
2192,wp rA .k jm .s,Open your mouth with it!
2193,wp rA .k jm .s,Open your mouth with it!
2194,jn .n .j n .k sA .k mrr .w .k wp rA .k,"I have brought you your son beloved of you, the opener of your mouth ."
2195,wp .n n .k Hr rA .k,Horus has opened your mouth for you .
2196,Hr j .wn rA nj Ne. pn,"O Horus, open the mouth of Neferkare!"
2197,wp rA .f jn sA .f Hr mry .f ,"His mouth having been opened by his son Horus, beloved of him ."
2198,wp .n n .k Hr rA .k,For you has Horus opened your mouth .
2199, wDa .n .f n .k rA .k jr qs .w .k ,He has split your mouth for you at your bones .
2200,wp rA .k jn Hr m Dba .f pw nDs .w,Your mouth having been opened by Horus with this little finger of his .
2201,wp .n .j n .k rA .k,I have opened even for you your mouth .
2202,wDa .n .j n .k rA .k jr qs .w .k,Precisely because I have split open your mouth upon your bones .
2203,j .smn .j n .k ar .tj .kj psS .tj,"Let me establish your jaws for you, with the result that they are parted ."
2204,wp .j n .k rA .k,Let me open your mouth for you .
2205,wp .j rA .k,Let me open your mouth .
2206, wDA .t pw nw jr .n Hr n jt .f wsjr ,This is a garment which Horus made for his father Osiris .
2207, m wp .t .n .f rA nj jt .f jm ,With that by which he opened the mouth of his father .
2208,mr wd .t .Tn Hr m wp .t jt .f wsjr,Just as Horus put you on the brow of his father Osiris .
2209,mr wd .t Tw Hr n jt .f wsjr,Just as Horus gave you to his father Osiris .
2210,wAD wAD nj jt .j sp 2 sdm .f jt .f jm wsjr,"Fresh is the green eye paint of my father twice, with which he painted his father Osiris ."
2211, Hr pw wD n .f jr .t n jt .f ,"It is Horus, the one who is commanded to act for his father ."
