,Transliteration,Translation
1988,Ax n=f (si) im=k,(It) being exalted for him with you.
1989,Ax n=k (si) im=f m rn=f n(i) Ax imi Dndrw,"(It) being Akh for you with him, in his name of ‘Akh who is in the bark.’"
1990, Ax n=f (si) an xr=k m rn=k n(i) Ax.t prr.t ra im=k ,"(It) being Akh for him again because of you, in your name of ‘horizon, you in whom Re ascends.’"
1991,Ax n=f (si) im=k,(It) being glorious for him with you.
1992,Ax n=T (si),(It) is Akh for you.
1993,Ax n=k (si) im=f m rn=f n(i) Ax imi Dndrw,"(It) is Akh for you with him, in his name of ‘Akh who in the bark.’"
1994,Ax n=f (si) an xr=k m rn=k n(i) Ax.t pr.t ra im=k,"(It) is Akh for him again with you, in your name of ‘horizon, you in whom Re ascends.’"
1995, W. pi r Sr.t sxm-wr ,It is Unas at the nostrils of the great power.
1996,P. pw ir Xr(i)-X.t p.t xr ra,And it is Pepi at the underbelly of the sky with Re.
1997,W. pi,It is Unas.
1998,M.n p(w),For it is Merenre.
1999,Ne. A pw,"Ah, it is Neferkare!"
2000,M.n A pw,"Ah, it is Merenre!"
2001,P. pw,It is Pepi.
2002,P. pw m mtw.t=k wsir,"It is Pepi, namely your seed."
2003, Nt. is pw rm Tw ,"That it is Neith, the one who beweeps you."
2004, Nt. pw ir=f [mnw] pr m hrw ,"It is Neith, acting <as> [Min], who ascends on the day."
2005,W. pi,It is Unas.
2006,W. pi wnnt rDi=f t n ntiw,"Unas it is, giving bread to those who are."
2007,M.n pw,It is Merenre.
2008,W. pi W. mA,"It is Unas, Unas who was seen."
2009,x.t n(=i) sSm x.t n(=i) sSm,"The offering to me, O butcher, the offering to me, O butcher!"
2010, x.t n(=i) tm x.t n(=i) tm ,"The offering to me, O Atum, the offering to me, O Atum!"
2011,abH.t(i) n=k m mr-nTr.i rDi.t.n n=k Hr nxn(.i),"They having been filled for you in the natron pool, these which Hierakonpolis Horus gave you."
2012, abH.t(i) n=k m mr-nTr(.i) ,They having been filled for you in the natron pool.
2013, Szp n=k wab=k pw fd.t=k iptw aAb.wt abH[.t(i)] m mr-nTr ,"Receive this purification of yours, these four jars of yours, filled from the natron pool!"
2014,Szp n=k fd.t=k iptw aAb[.t abH<.ti> m mr-nTr],"Receive your four jars, [filled from the natron pool]!"
2015, abH.t(i) m mr-nTr(.i) m nTrw Xr TAw As.t wr.t ,Filled from the natron pool in Netjeru with the breath of Isis the great.
2016,[mdw=f D.t=f xr psD.t aA.t m Hw.t-sr imit] iwnw,[That he himself speak to the great Ennead in the house of the noble which is in] Heliopolis.
2017,m-n=k ir.t=k siA.t.n=k m Hw.t sr imit iwnw,"Take your eye, which you discerned in the house of the noble which is in Heliopolis!"
2018,wsir bA im(i) Ax.w sxm im(i) s.wt=f nD.w psD.t m Hw(.t)-sr,"O Osiris, a Ba who is among the Akhs, a power who is in his offices, one whom the Ennead saves in the house of the noble."
2019,ir=k nw ir.n wsir m Hw.t-sr imit iwnw,And do this which Osiris did in the house of the noble which is in Heliopolis.
2020,f Aw pw ir.n nTr.w ir=k m Hw.t-sr m iwnw Hr ndi=k wsir [r tA],"This condemnation which the gods made against you in the house of the noble in Heliopolis, because of your casting Osiris [down]."
2021,[xw] n=T {w(i)} <P.> nxb.t {P.} Hr(i)t-ib Hw.t-sr im(i)t iwnw,"[Protect] {me} <Pepi>, O Nekhebet who is in the house of the noble which is in Heliopolis!"
2022, iw n=k DHw.ti mds pr m stS ,"Thoth coming to you, the knifer which went forth from Seth."
2023, mrzw.t tp(i)t-rmn.wi=k(i) m DHw.ti mds pr m stS ,"The white crown which is upon you is Thoth, the knifer which went forth from Seth."
2024,abA=k nwD.t=k an.wt=k tpi(w)t Dba.w=k m(i)Az.w tp(i)w-rmn.wi DHw.ti mds pr m stS,"Your staff, your Nudjet, your nails which are on your fingers, the knives which are upon Thoth, the knifer which went forth from Seth."
2025,sk sw i.rx Tw,For he knows you.
2026,iw W. rx sw rx rn=f ,For Unas knows him and knows his name.
2027,i.rx.k(i) zH mn(i)w Hr(i)-ib xt.iw izkn prr.w=k im=f ,As I know the booth of the herdsman at the center of the dais of the Yezeken from which you ascend.
2028,i.rx Ne. mw.t=f ,Neferkare knows his mother.
2029,Dd.kA P. pn rn=Tn pw n rmT.w rx.n=f n tm.iw,"Then Pepi will tell this name of yours to men, that which he knows to everyone."
2030,i.rx.k(i) rn=k,I know your name.
2031,sk sw i.rx Tw,For he knows you.
2032,n(i) sw i.rx.w Tw,For he is one of those who know you.
2033,pr W. Hr mAq.t tn ir.t.n n=f it=f ra,And Unas ascend upon this ladder which his father Re made for him.
2034,Tz mAq.t in ra xft wsir,The ladder is built by Re before Osiris.
2035,nTr.w ir(i)w p.t nTr.w ir(i)w tA ir=sn wTz.w n W. Hr-a.wi=sn,"And the gods who are in the sky, and the gods who are in the earth. Let them make exaltations (lit. a setting up, sc. of a ladder) for Unas before them."
2036,d=f Hb,Placing a Heb-ladder.
2037,aHa,"Arise, (o ladder)!"
2038,f A=sn mAq.t n Ne.,Lifting up the ladder for Neferkare.
2039,i(.n)D-Hr mAq.t=T wTz.t nb.t bA.w p bA.w nxn,"Hail to your ladder, which the Bas of Buto and Hierakonpolis raised up and gilded!"
2040,sqr n=f mAq.t,Let a ladder be set up for him.
2041,ir.n=sn mAq.t n M.,And they have made a ladder for Merire.
2042, in [mAq].t n Nt. ir.t Xnm ,"Bring the [ladder] to Neith, the ‘that which Chnum built’-boat!"
2043, qAs=sn qAs n Ne. pn ,Binding the rope ladder for Neferkare.
2044, [wn] dSr.t ra wdi mAq.t ,"The redness is [opened], O Re: a ladder is placed."
2045, Di=k Di.t(w) mAq.t tw [n] P. pn ,May you cause that this ladder be given [to] Pepi.
2046,st=f n=k tkA,That he may light a lamp for you.
2047,d sD.t wbn sD.t,Let the fire be set and the fire rise.
2048,in aA(.w) mH.tiw p.t wd.w n=f sD.t,"It is the magnificent one(s), those of the north of the sky, who set fire for him."
2049,abA mw rkH sD.t,Pour the water and light the fire!
2050,st.t tkA,Lighting a lamp.
2051,n Sw.n tA m P. pn D.t m wD.t /// /// ///,"The land cannot ever lack Pepi, by the command /// /// ///."
2052,n Hm Sw tA pn im=f D.t,Indeed this land will not lack him for ever.
2053,ir P. wdH.w wdH sbA,Pepi will make a libation which libates a star.
2054,qbH tA,With the earth being libated.
2055,z( A)T,Libate.
2056,qbH nTr(w) TA 2,"Libation and natron, two pellets."
2057,zAT,Libation.
2058,rDi.t qbH,Giving libation.
2059,zAT zAT,Libate the libation.
2060,m-n=k qbH=k ipn,Take this your libation!
2061,m-n=k qbH=k ipn,Take this libation of yours!
2062,rDi.t qbH,Giving libation.
2063,mw=k qbH=k baH wr pr im=k,"Your water, your libation, the great flood which went forth from you."
2064,Szp n=k qbH=k ipn tpiw pr.w m Ax-bi.t,Receive this your first libation which went forth from Chemmis!
2065,na.t(i)=k qbHw is,Being conveyed as a libated one.
2066,qbH=k ipn wsir imiw [Ddw imiw grg.]w-bA=f ,"This libation of yours, O Osiris, that which is in [Busiris, and that which is in Geregubaf ]."
2067,wdH.t(i) qbH.w ir r(w).t,When the libation is poured out at the cultic door.
2068, qbH=k ipn wsir qbH=k ipn hA W. pr.w xr zA=k pr.w xr Hr ,"This libation of yours, O Osiris, this libation of yours, O Unas, which went forth because of your son, which went forth because of Horus."
2069,iw=f Xr znb.t tn n(i)t qbHw ra,"For he is under ( i.e. has, i.e. receives water from) this libation vase of Re."
2070,i(r) Szp n=k qbHw Hr war.t tw n(i)t i.xm.w-sk,In order to receive of you a libation upon this the region of imperishable stars.
2071,z( A)T,Libate.
2072,zAT,Libation.
2073,zAT zAT,Libate the libation.
2074,z( A)T z( A)T=k in As[.t],Your libation is libated by Isis.
2075,HD km f A.t,A white jar; a black jar. Lifting.
2076,f A.t xft-Hr=f Dsr.t,Lifting before him; a sacred offering table.
2077,f A xft-Hr=f ,Lift before him.
2078,f A.t t Hn.t,"Lifting bread, a bowl."
2079,f A Hr=k,Lift up your sight!
2080,f A Hr=k,Lift up your sight!
2081,[ f A] n=k [Hr=k],[Lift up your sight]!
2082, Aw[=f n=f a.w]t=f i.xm(.w)t sk imit X.t mw.t=f nw.t ,Let [him] stretch out his imperishable [limbs] which are in the womb of his mother Nut.
2083,a.wt=f i.xm-sk,His limbs are an imperishable star.
2084, a.wt Ne. m sbA.w i.xm.w-sk ,"The limbs of Neferkare are the stars, the imperishable stars."
2085, xnD m-ab sASr.t DA.t 4 n(i)t mw ,A shank and roast meat and four handfuls of water.
2086,xnD m-ab sASr.t fd.t DA.wt n( iw)t mw,A shank and roast meat and four handfuls of water.
2087,anx.t(i) nmnm=k ra nb,"Live, moving every day!"
2088,anx.ti D.t,May you live for ever!
2089,anx anx,Live! Live.
2090, anx anx m wD n(i) nTr.w anx=k ,Live! Live by the command of the gods! And live!
2091,anx r=k,Live!
2092,anx.t(i) anx.t(i),"Live, being alive!"
2093, m( y) anx anx=k nn m tr=k m tr=k m rnp.wt iptn Htp.ti ,"Come! Live your life here from season to season in these years, you being satisfied!"
2094,anx,Live!
2095,anx=k n(=i) M. pn D.t,"May you live for me, O Merire, for ever."
2096, anx.ti anx.ti wAs.ti wAs.ti ,Live! Live! Have dominion! Have dominion!
2097,anx anx.ti it(=i) m rn=k pw xr(i) nTr.w,"Live! Live, O my father, in your name of ‘one who is with the gods!’"
2098,anx.t(i) anx.t(i) anx,"Live, live! Live!"
2099,anx anx Nt. pn m rn=k pw xr(i) Ax.w,"Live! Live, O Neith, in this your name of ‘one who is with the Akhs!’"
2100,anx anx anx.t(i) anx.t(i) m rn=k pw xr(i) nTr.w,"Live! Live! Live! Live, in your name of ‘one who is with the gods!’"
2101,anx n=k anx.t m-ab=sn Ax.w i.xm.w-sk,"But live among them, the Akhs, the imperishable stars!"
2102, sDr=k [mni=k] anx=k ,May you pass the night. [May you die.] May you live.
2103,anx=k ir=k,May you live.
2104, [anx] anx.ti rnp rnp.ti ir-Dba.wi it=k ir-Dba.wi sAH ir p.t ,"[Live,] being alive; be rejuvenated, being rejuvenated, beside your father, beside Orion, at the sky!"
2105,anx,Live!
2106, anx=k ir anx sbA.w m anx=sn ,And live more than the stars live in their lives.
2107,anx anx,Live! Live!
2108,anx.t(i) anx.t(i),Live! Live!
2109,anx Ne. m Agbi=k,Let Neferkare live from your abundance.
2110, anx Ne. m anx.t Hr nb p.t im ,Neferkare will live on that on which Horus lord of the sky lives.
2111,anx M.n m anx=Tn im,And Merenre live from that from which you live.
2112,anx Hm P. pn m anx.t=f im m t-wr HA nTr,"Indeed Pepi lives because of what he lives on, on the bread around the god."
2113,anx=k m anx pw nDm anx.w nb Ax.t im=f Agbi wr imi nw.t,"And live on this sweet life on which the lord of the horizon lives, great abundance, one who is in Nut."
2114,anx n=f M.n im=f m zp,And Merenre live by it at once.
2115,anx M.n m i.zn.w it=f tm,For Merenre lives from the cakes of his father Atum.
2116, anx P. pn m anx.t=Tn im ,Let Pepi live by that by which you live.
2117,ir=f n=k xA=k m t xA=k m Hnq.t xA=k m kA xA=k m Apd xA=k m x.t nb(.t) anx.t nTr im ,"Let him give you your thousand of bread, beer, beef, fowl, and everything on which a god lives."
2118,aHa Hms r xA=k m t xA=k m Hnq.t xA=k [m kA xA=k m Apd xA=k m x.t nb(.t) anx.t nTr im] ,"Arise! Be seated at your thousand of bread, beer, beef, [fowl and everything by which a god lives]!"
2119,sAx=T P. pn m-Xnw=T,May you make Pepi an Akh within you.
2120,sAx.i sxm pn n bA=f ,Let this power be made an Akh because of his Ba.
2121,sAx.w=f P. pn,Is that he will make Pepi an Akh.
2122,i.sAx=f wsir m nTr,"When he made Osiris an Akh, into a god."
2123,sAx=f it=f HA is mnw is zkr is xnti pD.w-S,"Is that he would make his father an Akh, as Ha, as Min, as Sokar, foremost of Pedju-She."
2124,sAx=f Tw,Even making you an Akh.
2125,sAx(=i) Tw,For I make you an Akh.
2126, Ax=k im aA=k im ,"That you be an Akh thereby, that you be great thereby."
2127,sAx=T sw Xr=T,That you make him an Akh through your influence.
2128, Di.n=k sDb=f anx=f ,You have caused that he come to life even that he live.
2129,DDi=T sDb=f ,You are to cause that he live again.
2130,stp zA anx Hr it=Tn wsir M. Dr nw Di.t=f sDb=f xr nTr.w,"Put the protection of life around your father Osiris Merire, since the time of his causing his coming to live by the gods."
2131,im(i) sDb=k,Cause that you come to life!
2132,[r]Di.n=k sDb={k}f ,The one whom you caused that he come to life.
2133, Di=T sDb=f anx[=f ] ,You have caused that he come to life even that [he] live.
2134,sia kw n(=i),Make yourself rise up to me!
2135,sia kw n Hr,Make yourself rise up to Horus!
2136, i.sia.ti n=s m rn=s n(i) ia ,"You being made to rise up to her, in her name of ‘ascent-( place).’"
2137,sia kw n Hr,Make yourself rise up to Horus!
2138,sia n(=i) wsir M. pn,Make Osiris Merire rise up to me!
2139,sia n(=i) kw,Make yourself rise up to me!
2140,mdw-nTr sia sw,It is the hieroglyphs which make him rise up.
2141, sia=k kA n(i) W. n=f r-gs=f ,May you make the Ka of Unas rise up to be
2142,sia=f P. n nTr aA,Let him make Pepi rise up to the great god.
2143,sia=k i wA.w(t),For you have been made to rise up to the ways.
2144,sia=sn Ne. n xprr,Making Neferkare rise up to Kheprer.
2145,sia=f Nt. n nTr aA,He making Neith rise up to the great god.
2146, tmm rA n(i) Sms.t in mAfd.t ,May the mouth of she who serves be shut by Mafdet.
2147, sTp mAfd.t ir nHb.t in=f-Di=f ,Let Mafdet pounce upon the neck of the serpent.
2148,nAS.wt nn iw.t(i) Hr=k mAfd.t xnt(i)t Hw.t-anx,"The proscription of this one is come upon you, namely Mafdet, foremost of the house of life."
2149, i.Sa=f tp=k m ds pn imi Dr.t mAfd.t ,Let him cut off your head with this knife which is in the hand of Mafdet.
2150,Dr.t tn n(i)t T. i.t ir=k Dr.t TT.t aA.t Hr(i)t-ib Hw.t-anx,"This hand of Teti which came against you is the hand of the great binder, resident in the house of life."
2151,Dba.w T. Hr(i)w=k Dba.w mAfd.t Hr(i)t-ib Hw.t-anx,"The fingers of Teti, which are upon you, are the fingers of Mafdet, resident in the house of life."
2152,rd pn n(i) T. [dd.w=f Hr=k] rd n(i) mAfd.t,This foot of Teti [which he puts upon you] is the foot of Mafdet.
2153,qs.wi=s(i) an.wt mAfd.t i.Sa n=f M.n tp.w im n(i)w DAy.tiw imiw sx.t-Htp,"Its two points the claws of Mafdet, with which Merenre cuts off the heads for himself of the opponents who are in the field of offerings."
2154,srwD=k pr=k m-xt=k,That you maintain your house after you.
2155,srwD=k pr=k m-xt=k,That you maintain your house after you.
2156,Hn Ne. pr=k srwD Ne. arr.wt=k,Let Neferkare provide your house; let Neferkare maintain your gates.
2157, iw srwD xnt=k t=k ,Your jar-stand and your bread have been maintained.
2158,srwD(=i) xnti pr=k,And maintain the jar-stand of your house.
2159,sr(w)D{n}<=k> xnt=k tpiw tA n D.t D.t,And maintain your jar-stand(s) which are upon earth for ever and ever.
2160,srwD n=k arr.wt=k,Maintain your gate!
2161,/// . . . /// [ar]w.t n(i)t it=k /// mr nw Hnn Hr arw.t n(i)t it=f [ws]ir,"/// . . . /// the gate of your father [Geb?] just like this, namely that Horus equips the gate of his father [Os]iris."
2162, srwD=f Df A n(i) xnt=f ir(i)w tA ,With him maintaining the provisioning of his jar-stands which are on earth.
2163, xnD m-ab sASr.t DA.t 4 n(i)t mw ,A shank and roast meat and four handfuls of water.
2164,xnD m-ab sASr.t fd.t DA.wt n( iw)t mw,A shank and roast meat and four handfuls
2165,a=k <m> tm,With your arm being Atum.
2166,a.wt=k zA.ti tm,Your limbs are the twins of Atum.
2167,iwf=k tm m tm,With all of your flesh as Atum’s.
2168,iwf=k m tm,Your flesh as Atum.
2169,xw=k ms.w=k m-a iAkb,That you keep your children from sorrow.
2170,xw=k ms.w=k m-a iAkb,That you keep your children from sorrow.
2171,i.tm iAkb Hr itr.ti,Ceased is the sorrow at the two chapel rows.
2172, tm iAkb Hr itr.ti nTr.w ,An end of sorrow at the two chapel rows of the gods.
2173,(i)wa.n Ne. tm i.qm( A).w xpr zbT,Neferkare has inherited the end of mourning and the beginning of laughter.
2174,/// /// iAkb,/// /// from sorrow.
2175,n<H>m ms.w=k m-a iAkb ///,Sa<v>e your children from sorrow.
2176,wp=Tn n M.n rA=f ,And open for Merenre his mouth.
2177,wn rA=k /// ///,And your mouth is opened /// ///.
2178,[wp n=k rA=k],[ Just as your mouth has been opened].
2179,zmrn zmrn wpp rA=k,"The natron, the natron which opens your mouth!"
2180,wn rA=k,For your mouth has been opened.
2181,wp rA=k in SsA xnti Sna.t,Even with your mouth having been opened by Shesa foremost of Shen’at.
2182,wp rA=k,As your mouth has been opened.
2183,/// . . . /// HpD rA qdn /// . . . ///H Hnzk.tiw,/// . . . /// open the mouth /// . . . /// those of the sidelock.
2184,wp.w rA=k m Dba.w=sn biA.(i)w,Your mouth opened by their metal fingers.
2185,wp n T. rA=f ,For his (sc. Teti’s) mouth has been opened for Teti.
2186,wp n=k rA=k m xpx ir(.t) Hr,"Your mouth has been opened for you even with the Khepekh, the eye of Horus."
2187, m-n=k ir.t Hr hp.t m-a stS iT.t=k ir rA=k wpp.t=k rA=k im=s ,"Take the eye of Horus, which was recovered from Seth, that which you should take to your mouth, that by which you open your mouth!"
2188,wp rA=k im=s,By it has your mouth been opened.
2189,wp=k rA=k m ir.t Hr,And open your mouth by the eye of Horus!
2190,wp rA=k im=s,Open your mouth with it!
2191,wp rA=k im=s,Open your mouth with it!
2192,wp rA=k im=s,Open your mouth with it!
2193,wp rA=k im=s,Open your mouth with it!
2194,in(.n=i) n=k zA=k mrr.w=k wp rA=k,"I have brought you your son beloved of you, the opener of your mouth."
2195,wp.n n=k Hr rA=k,Horus has opened your mouth for you.
2196,Hr i.wn rA n(i) Ne. pn,"O Horus, open the mouth of Neferkare!"
2197,wp rA=f in zA=f Hr mry=f ,"His mouth having been opened by his son Horus, beloved of him."
2198,wp.n n=k Hr rA=k,For you has Horus opened your mouth.
2199, wDa.n=f n=k rA=k ir qs.w=k ,He has split your mouth for you at your bones.
2200,wp rA=k in Hr m Dba=f pw nDs.w,Your mouth having been opened by Horus with this little finger of his.
2201,wp.n(=i) n=k rA=k,I have opened even for you your mouth.
2202,[wDa.n(=i) n=k rA=k ir qs.w=k],[Precisely because I have split open your mouth upon your bones].
2203,i.smn(=i) n=k ar.ti=k(i) psS.t(i),"Let me establish your jaws for you, with the result that they are parted."
2204,wp=i n=k rA=k,Let me open your mouth for you.
2205,wp(=i) rA=k,Let me open your mouth.
2206, wDA.t pw nw ir.n Hr n it=f wsir ,This is a garment which Horus made for his father Osiris.
2207, m wp.t.n=f rA n(i) it=f im ,With that by which he opened the mouth of his father.
2208,mr wd.t=Tn Hr m wp.t it=f wsir,Just as Horus put you on the brow of his father Osiris.
2209,mr wd.t Tw Hr n it=f wsir,Just as Horus gave you to his father Osiris.
2210,[wAD] wAD n(i) it=i zp 2 sdm=f it=f im wsir,"[Fresh] is the green eye-paint of my father (twice), with which he painted his father Osiris."
2211, Hr pw wD n=f ir.t n it=f ,"It is Horus, the one who is commanded to act for his father."
2212,wp[.n=f ] rA n(i) it=f im=f wp.n=f rA n(i) wsir im=f ,"With which he opened the mouth of his father, with which he opened the mouth of Osiris."
2213, ir n=f ir.t n it=f wsir hrw pw n(i) Tz qs.w ,Do for him what was done for his father Osiris on that day of binding the bones!
2214, iw-s(w) Sm.t=k tn it(=i) M.n mr Sm Hr n it=f wsir ,"Indeed this your going, O my father Merenre, is like when Horus went to his father Osiris."
